segment_id,s_node_id,e_node_id,period,actual_velocity,time,LOS,congestion_factor,risk_factor
1551,366461102,366410160,period_1_30,18.0,0.009401222696163227,A,0.0,5.0
1551,366461102,366410160,period_1_30,18.0,0.009401222696163227,A,0.0,5.0
1551,366461102,366410160,period_1_30,5.278592375366569,0.0320581693939166,E,0.5517399267399268,5.0
1552,366410160,366442996,period_1_30,0.7880910683012259,0.16359918200409,F,5.0,5.0
1553,366442996,366441338,period_1_30,5.278592375366569,0.041217646363607065,E,0.5517399267399268,5.0
1554,366441338,5735415579,period_1_30,8.955223880597016,0.026994939456125838,C,0.23122710622710618,5.0
1554,366441338,5735415579,period_1_30,8.955223880597016,0.026994939456125838,C,0.23122710622710618,5.0
1555,5735415579,378299077,period_1_30,18.0,0.0017907090849834718,A,0.0,5.0
1558,5719731384,3758592298,period_14_00,11.612903225806452,0.0034694988521554765,B,0.1259157509157509,5.0
1558,5719731384,3758592298,period_12_00,7.142857142857143,0.0056407336176979355,D,0.34798534798534797,5.0
1558,5719731384,3758592298,period_11_30,7.142857142857143,0.0056407336176979355,D,0.34798534798534797,5.0
1558,5719731384,3758592298,period_12_00,5.278592375366569,0.007632897474742049,E,0.5517399267399268,5.0
1558,5719731384,3758592298,period_14_00,8.955223880597016,0.004499156576020972,C,0.23122710622710618,5.0
1558,5719731384,3758592298,period_12_00,8.955223880597016,0.004499156576020972,C,0.23122710622710618,5.0
1558,5719731384,3758592298,period_11_30,8.955223880597016,0.004499156576020972,C,0.23122710622710618,5.0
1558,5719731384,3758592298,period_15_00,11.612903225806452,0.0034694988521554765,B,0.1259157509157509,5.0
1558,5719731384,3758592298,period_15_30,11.612903225806452,0.0034694988521554765,B,0.1259157509157509,5.0
1558,5719731384,3758592298,period_16_00,11.612903225806452,0.0034694988521554765,B,0.1259157509157509,5.0
1558,5719731384,3758592298,period_13_30,11.612903225806452,0.0034694988521554765,B,0.1259157509157509,5.0
1558,5719731384,3758592298,period_14_00,11.612903225806452,0.0034694988521554765,B,0.1259157509157509,5.0
1558,5719731384,3758592298,period_15_30,11.612903225806452,0.0034694988521554765,B,0.1259157509157509,5.0
1558,5719731384,3758592298,period_13_30,11.612903225806452,0.0034694988521554765,B,0.1259157509157509,5.0
1558,5719731384,3758592298,period_14_00,11.612903225806452,0.0034694988521554765,B,0.1259157509157509,5.0
1564,366475297,3654066975,period_3_00,18.0,0.011191931781146698,A,0.0,5.0
1566,3654066975,366462375,period_14_30,11.612903225806452,0.01318409563819081,B,0.1259157509157509,5.0
1567,366462375,3654066975,period_3_00,11.612903225806452,0.01318409563819081,B,0.1259157509157509,5.0
1578,2487526100,3654066941,period_3_00,18.0,0.01298264086613017,A,0.0,5.0
1607,5778872990,366446926,period_10_00,18.0,0.012534963594884301,A,0.0,5.0
1607,5778872990,366446926,period_9_00,18.0,0.012534963594884301,A,0.0,5.0
1609,3654067005,5778872990,period_11_00,18.0,0.016116381764851244,A,0.0,5.0
1609,3654067005,5778872990,period_11_30,18.0,0.016116381764851244,A,0.0,5.0
1609,3654067005,5778872990,period_12_00,18.0,0.016116381764851244,A,0.0,5.0
1609,3654067005,5778872990,period_12_30,18.0,0.016116381764851244,A,0.0,5.0
1611,5778872989,3654067005,period_10_30,18.0,0.01477334995111364,A,0.0,5.0
1611,5778872989,3654067005,period_7_00,18.0,0.01477334995111364,A,0.0,5.0
1613,5763293916,5778872989,period_10_00,18.0,0.01477334995111364,A,0.0,5.0
1613,5763293916,5778872989,period_9_30,18.0,0.01477334995111364,A,0.0,5.0
1617,710640671,3654066932,period_23_00,18.0,0.0049244499837045475,A,0.0,5.0
1617,710640671,3654066932,period_8_30,18.0,0.0049244499837045475,A,0.0,5.0
1617,710640671,3654066932,period_9_00,18.0,0.0049244499837045475,A,0.0,5.0
1619,5763160800,710640671,period_9_30,18.0,0.008058190882425622,A,0.0,5.0
1622,3239047771,5763160801,period_11_00,18.0,0.005372127254950415,A,0.0,5.0
