_id,segment_id,date,weekday,period,LOS,s_node_id,e_node_id,length,street_id,max_velocity,street_level,street_name,street_type,long_snode,lat_snode,long_enode,lat_enode
27793,63369,2020-08-03,0,period_0_00,E,2433653232,5778688826,36,468724779,,2,3 Tháng 2,primary,106.6614188,10.7646632,106.6611284,10.7645086
27794,63369,2020-12-25,4,period_8_00,A,2433653232,5778688826,36,468724779,,2,3 Tháng 2,primary,106.6614188,10.7646632,106.6611284,10.7645086
27795,63370,2020-08-02,6,period_23_30,E,5778688826,5778688832,31,468724779,,2,3 Tháng 2,primary,106.6611284,10.7645086,106.6608763,10.7643743
27796,63370,2020-08-02,6,period_5_00,F,5778688826,5778688832,31,468724779,,2,3 Tháng 2,primary,106.6611284,10.7645086,106.6608763,10.7643743
27797,63370,2020-08-03,0,period_0_00,B,5778688826,5778688832,31,468724779,,2,3 Tháng 2,primary,106.6611284,10.7645086,106.6608763,10.7643743
27798,63370,2020-11-30,0,period_5_00,B,5778688826,5778688832,31,468724779,,2,3 Tháng 2,primary,106.6611284,10.7645086,106.6608763,10.7643743
27799,63370,2020-12-25,4,period_8_00,F,5778688826,5778688832,31,468724779,,2,3 Tháng 2,primary,106.6611284,10.7645086,106.6608763,10.7643743
27800,63371,2020-08-02,6,period_23_30,D,5778688832,5073779461,72,468724779,,2,3 Tháng 2,primary,106.6608763,10.7643743,106.6602927,10.7640636
27801,63371,2020-08-03,0,period_0_00,D,5778688832,5073779461,72,468724779,,2,3 Tháng 2,primary,106.6608763,10.7643743,106.6602927,10.7640636
27802,63371,2020-11-30,0,period_4_30,B,5778688832,5073779461,72,468724779,,2,3 Tháng 2,primary,106.6608763,10.7643743,106.6602927,10.7640636
27803,63371,2020-11-30,0,period_6_00,B,5778688832,5073779461,72,468724779,,2,3 Tháng 2,primary,106.6608763,10.7643743,106.6602927,10.7640636
27804,63371,2021-01-06,2,period_14_30,C,5778688832,5073779461,72,468724779,,2,3 Tháng 2,primary,106.6608763,10.7643743,106.6602927,10.7640636
27805,63372,2020-08-02,6,period_23_30,D,5073779461,5073779463,12,468724779,,2,3 Tháng 2,primary,106.6602927,10.7640636,106.6601926,10.7640103
27806,63372,2020-08-03,0,period_0_00,E,5073779461,5073779463,12,468724779,,2,3 Tháng 2,primary,106.6602927,10.7640636,106.6601926,10.7640103
27807,63372,2020-11-30,0,period_4_30,B,5073779461,5073779463,12,468724779,,2,3 Tháng 2,primary,106.6602927,10.7640636,106.6601926,10.7640103
27808,63372,2020-11-30,0,period_5_00,B,5073779461,5073779463,12,468724779,,2,3 Tháng 2,primary,106.6602927,10.7640636,106.6601926,10.7640103
27809,63372,2020-11-30,0,period_6_00,B,5073779461,5073779463,12,468724779,,2,3 Tháng 2,primary,106.6602927,10.7640636,106.6601926,10.7640103
27810,63372,2020-12-10,3,period_11_00,B,5073779461,5073779463,12,468724779,,2,3 Tháng 2,primary,106.6602927,10.7640636,106.6601926,10.7640103
27811,63372,2020-12-20,6,period_10_00,A,5073779461,5073779463,12,468724779,,2,3 Tháng 2,primary,106.6602927,10.7640636,106.6601926,10.7640103
27812,63372,2020-12-20,6,period_14_30,E,5073779461,5073779463,12,468724779,,2,3 Tháng 2,primary,106.6602927,10.7640636,106.6601926,10.7640103
27813,63372,2020-12-25,4,period_8_00,E,5073779461,5073779463,12,468724779,,2,3 Tháng 2,primary,106.6602927,10.7640636,106.6601926,10.7640103
27814,63372,2021-01-06,2,period_14_30,A,5073779461,5073779463,12,468724779,,2,3 Tháng 2,primary,106.6602927,10.7640636,106.6601926,10.7640103
27815,63373,2020-08-02,6,period_23_30,E,5073779463,2433653211,23,468724779,,2,3 Tháng 2,primary,106.6601926,10.7640103,106.6600069,10.7639114
27816,63373,2020-08-03,0,period_0_00,D,5073779463,2433653211,23,468724779,,2,3 Tháng 2,primary,106.6601926,10.7640103,106.6600069,10.7639114
27817,63374,2020-08-02,6,period_23_30,E,2433653211,4628048104,10,468724779,,2,3 Tháng 2,primary,106.6600069,10.7639114,106.6599239,10.7638652
27818,63374,2020-08-03,0,period_0_00,D,2433653211,4628048104,10,468724779,,2,3 Tháng 2,primary,106.6600069,10.7639114,106.6599239,10.7638652
27819,63375,2020-08-02,6,period_23_30,B,366379977,5780574623,0,468724782,,2,3 Tháng 2,primary,106.6640311,10.7659517,106.6640385,10.7659563
27820,63375,2020-08-03,0,period_0_00,E,366379977,5780574623,0,468724782,,2,3 Tháng 2,primary,106.6640311,10.7659517,106.6640385,10.7659563
